4,3,Mon May 11 03:17:40 UTC 2009,kindle2,tpryan,I love love love  this car.
4,4,Mon May 11 03:18:03 UTC 2009,kindle2,tpryan,This view is amazing.
4,5,Mon May 11 03:18:54 UTC 2009,kindle2,chadfu,I feel great this morning .
4,6,Mon May 11 03:19:04 UTC 2009,kindle2,SIX15,I am so excited about the concert .
4,7,Mon May 11 03:21:41 UTC 2009,kindle2,yamarama,He is my best friend love
0,3,Mon May 11 03:17:40 UTC 2009,kindle2,tpryan,I do not like this car.
0,4,Mon May 11 03:18:03 UTC 2009,kindle2,tpryan,This view is horrible.
0,5,Mon May 11 03:18:54 UTC 2009,kindle2,chadfu,I feel tired this morning.
0,6,Mon May 11 03:19:04 UTC 2009,kindle2,SIX15,I am not looking forward to the concert.
0,7,Mon May 11 03:21:41 UTC 2009,kindle2,yamarama,He is my enemy.
